Công ty Cổ phần Cấp nước Nhơn Trạch,NTW
Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,DSP
Công ty Cổ phần Bia Sài Gòn - Miền Tây,WSB
Công ty Cổ phần Đầu tư và Xây lắp Dầu khí Sài Gòn,PSG
Công ty Cổ phần tập đoàn MPT,MPT
Công ty cổ phần Hàng Tiêu Dùng Masan,MCH
Ngân hàng Thương mại Cổ phần Đông Nam Á,SSB
Công ty Cổ phần Tư vấn xây dựng điện 1,TV1
Công ty cổ phần Xăng dầu HFC,HFC
Công ty Cổ phần Đầu tư xây dựng và Phát triển đô thị Sông Đà,SDU
Công ty cổ phần Vật liệu và Xây dựng Bình Dương,MVC
Công ty Cổ phần Thép Nhà Bè - VNSTEEL,TNB
Công ty Cổ phần Thương mại Đầu tư SHB,SCC
Công ty Cổ phần Quốc tế Hoàng Gia,RIC
Công ty Cổ phần Xuân Mai - Đạo Tú,XMD
Công ty Cổ phần Chứng khoán Stanley Brothers,VUA
Tổng công ty Tư vấn thiết kế Giao thông vận tải -CTCP,TED
Công ty Cổ phần Công nghệ Tiên Phong,ITD
Công ty Cổ phần - Tổng công ty nước - Môi trường Bình Dương,BWE
Công ty Cổ phần Tập đoàn Đạt Phương,DPG
Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC
Công ty Cổ phần Đầu tư PV2 ,PV2
Công ty Cổ phần Vinacafé Biên Hòa,VCF
Công ty Cổ phần Dịch vụ Kỹ thuật PTSC Thanh Hoá,PSN
Công ty Cổ phần Tập đoàn Nhôm Sông Hồng Shalumi,NSH
Công ty Cổ phần PVI,PVI
Công ty Cổ phần Đầu tư Thương mại Thủy sản ,ICF
Công ty cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả,HHV
Công ty Cổ phần Thông tin Tín hiệu Đường sắt Sài Gòn,TSG
Công ty Cổ phần Sách và Thiết bị trường học Long An,LBE
Công ty Cổ phần Tập đoàn thép Tiến Lên,TLH
Công ty Cổ phần Đầu tư bất động sản Việt Nam,VNI
Công ty cổ phần Đường sắt Hà Lạng,HLR
Công ty Cổ phần Thủy điện Thác Bà,TBC
CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN THỰC PHẨM HỒNG HÀ,HSL
Công ty Cổ phần Xây dựng Phục Hưng Holdings,PHC
CTCP Xây dựng số 12,V12
Công ty cổ phần kinh doanh khí miền nam,PGS
Công ty Cổ phần Vận tải Xăng dầu VIPCO,VIP
Công ty Cổ phần Nhựa Tân Đại Hưng,TPC
Công ty cổ phần Phụ Gia Nhựa,PGN
Công ty Cổ phần cấp nước Sơn La,NSL
Công ty cổ phần Vận tải biển và Thương mại Phương Đông,NOS
Công ty Cổ phần Minh Hữu Liên,MHL
Công ty Cổ phần Khách sạn Sài Gòn,SGH
Công ty Cổ phần Thương mại Đầu tư Dầu khí Nam Sông Hậu,PSH
CTCP Tập đoàn Mgroup,MGR
Công ty Cổ phần Hóa - Dược phẩm Mekophar,MKP
Công ty Cổ phần Halcom Việt Nam,HID
